titulo,duracion,artista_tipo,artista_nombre,artista_apellido,artista_pais,artista_inicio,letra,album,genero,reproducciones
Prueba,2.1,Solista,Taylor,Swift,EEUU,2006,,Prueba,Pop,5
tv off,3.0,Solista,Kendrick,Lamar,Estados Unidos,2000-05-12,,Op,Jazz,9
Canción 1,2.74,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Reggaeton,3727
Canción 2,3.07,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Reggaeton,4611
Canción 3,3.96,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum C,Indie,1347
Canción 4,3.24,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Electrónica,4961
Canción 5,2.67,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Indie,356
Canción 6,2.56,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Electrónica,977
Canción 7,3.84,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Rock,3682
Canción 8,2.33,Solista,Skrillex,n/a,Estados Unidos,2000-12-24,Letra de prueba,Álbum C,Rock,1242
Canción 9,4.3,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Indie,4574
Canción 10,2.56,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Electrónica,1866
Canción 11,3.12,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Pop,3209
Canción 12,3.31,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Rock,2678
Canción 13,2.82,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Rock,4869
Canción 14,4.49,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Rock,1464
Canción 15,3.43,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Indie,3669
Canción 16,4.66,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum C,Rock,3519
Canción 17,3.87,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Electrónica,2715
Canción 18,3.14,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum C,Pop,449
Canción 19,3.29,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Rock,1164
Canción 20,2.05,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Electrónica,3799
Canción 21,2.16,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Rock,1129
Canción 22,3.82,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Indie,2173
Canción 23,3.97,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum B,Indie,2496
Canción 24,2.93,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Rock,3891
Canción 25,2.39,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum B,Reggaeton,3060
Canción 26,4.25,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Rock,4686
Canción 27,2.61,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Reggaeton,4191
Canción 28,4.26,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Rock,3026
Canción 29,3.56,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Rock,2697
Canción 30,4.52,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Electrónica,2137
Canción 31,3.91,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Pop,1497
Canción 32,4.81,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Indie,548
Canción 33,3.5,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Reggaeton,4211
Canción 34,4.6,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Electrónica,3008
Canción 35,2.39,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Electrónica,2700
Canción 36,4.54,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Electrónica,3974
Canción 37,3.92,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Pop,500
Canción 38,3.58,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Reggaeton,4950
Canción 39,4.35,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Rock,3502
Canción 40,4.03,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Rock,4669
Canción 41,3.0,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Electrónica,284
Canción 42,2.58,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Electrónica,4973
Canción 43,2.89,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Electrónica,3120
Canción 44,2.97,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum B,Pop,4558
Canción 45,3.35,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Indie,2830
Canción 46,4.72,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Rock,2682
Canción 47,4.67,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Rock,563
Canción 48,4.79,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Pop,1636
Canción 49,3.88,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Rock,1734
Canción 50,4.5,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Electrónica,3811
Canción 51,4.25,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Rock,4666
Canción 52,3.74,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Reggaeton,2408
Canción 53,3.55,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Indie,2844
Canción 54,3.97,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Indie,4208
Canción 55,4.78,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum B,Reggaeton,3634
Canción 56,4.67,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Rock,4906
Canción 57,3.23,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Indie,327
Canción 58,3.94,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum C,Indie,690
Canción 59,4.72,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Pop,2668
Canción 60,2.26,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum C,Rock,880
Canción 61,4.77,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Reggaeton,4161
Canción 62,4.34,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Indie,3859
Canción 63,4.97,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Indie,3961
Canción 64,3.52,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Electrónica,1732
Canción 65,4.22,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Reggaeton,230
Canción 66,2.35,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Indie,2526
Canción 67,4.12,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Reggaeton,1754
Canción 68,2.58,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Electrónica,3106
Canción 69,3.1,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Indie,4801
Canción 70,3.33,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Indie,1664
Canción 71,3.27,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Electrónica,3143
Canción 72,4.78,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Electrónica,4995
Canción 73,2.83,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Reggaeton,1293
Canción 74,4.89,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Indie,2294
Canción 75,2.23,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Pop,4249
Canción 76,3.55,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Indie,239
Canción 77,4.49,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Indie,4016
Canción 78,2.78,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Reggaeton,2422
Canción 79,3.53,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Indie,4709
Canción 80,2.03,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Indie,3205
Canción 81,3.54,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Rock,2274
Canción 82,3.71,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Indie,1166
Canción 83,2.98,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Reggaeton,3860
Canción 84,4.58,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Electrónica,3424
Canción 85,3.88,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Electrónica,1345
Canción 86,3.91,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Pop,402
Canción 87,4.18,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Pop,81
Canción 88,4.65,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Rock,1271
Canción 89,3.39,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Indie,701
Canción 90,4.12,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Reggaeton,3844
Canción 91,4.92,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Pop,1898
